benchmark	Type	Orig	Prop	Class	logs.Storm.topovi-abs-e3-g5	logs.Storm.topoii-abs-e3-g5	logs.Storm.ii-abs-e3-g5	logs.Storm.topopi-abs-e3-g5	logs.Storm.topopi-abs-einf	logs.Storm.topoii-abs-e3-g01	logs.Storm.topoii-abs-e3-g1	logs.Storm.topoii-abs-e3-g25	logs.Storm.topoii-abs-e3-g75	logs.Storm.topoii-abs-e3-g9	logs.Storm.topoii-abs-e3-g99	logs.Storm.topoii-abs-e1-g5	logs.Storm.topoii-abs-e2-g5	logs.Storm.topoii-abs-e4-g5	logs.Storm.topoii-abs-e5-g5	logs.Storm.topoii-abs-e6-g5	logs.mcsta.ii-rel-e3-g5	logs.mcsta.vi-abs-e3-g5	logs.mcsta.ii-abs-e3-g01	logs.mcsta.ii-abs-e3-g1	logs.mcsta.ii-abs-e3-g25	logs.mcsta.ii-abs-e3-g5	logs.mcsta.ii-abs-e3-g75	logs.mcsta.ii-abs-e3-g9	logs.mcsta.ii-abs-e3-g99	logs.mcsta.ii-abs-e1-g5	logs.mcsta.ii-abs-e2-g5	logs.mcsta.ii-abs-e4-g5	logs.mcsta.ii-abs-e5-g5	logs.mcsta.ii-abs-e6-g5	best
jobs.15-3.multi	ma	prism-ma	M	3obj	256	256	256	512	512	256	256	256	256	256	256	7.0	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	7.0
polling-system.3-3-5.Multi	ma	modest	M	3obj	256	256	256	512	512	256	256	256	5.0	256	5.0	6.0	6.0	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
reentrant-queues.3-3-3-5.Multi	ma	modest	M	3obj	256	256	256	512	512	256	256	256	256	256	256	4.0	4.0	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
stream.10.multi	ma	prism-ma	M	3obj	128	128	128	512	512	256	121.0	119.0	128	256	256	11.0	45.0	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	11.0
stream.100.multi	ma	prism-ma	M	3obj	256	256	256	512	512	256	256	256	256	256	256	15.0	71.0	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	15.0
stream.500.multi	ma	prism-ma	M	3obj	256	256	256	512	512	256	256	256	256	256	256	15.0	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	15.0
stream.1000.multi	ma	prism-ma	M	3obj	256	256	256	512	512	256	256	256	256	256	256	18.0	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	18.0
avoid-mdp.15-0.2.multi	mdp	prism	M	2obj	24.0	16.0	15.0	256	256	256	14.0	256	16.0	16.0	16.0	2.0	7.0	34.0	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
avoid-mdp.20-0.2.multi	mdp	prism	M	2obj	3.0	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	3.0
avoid-mdp.25-0.2.multi	mdp	prism	M	2obj	22.0	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	22.0
avoid-mdp.35-0.0.multi	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
avoid-mdp.35-0.2.multi	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
avoid-mdp.40-0.0.multi	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
avoid-mdp.40-0.2.multi	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
care-home.0-0.social	mdp	prism	M	2obj	11.0	512	512	11.0	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	11.0
care-home.1-160.social	mdp	prism	M	2obj	11.0	512	512	11.0	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	11.0
care-home.0-0.efficient_bounded	mdp	prism	M	2obj	2.0	2.0	256	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
care-home.1-160.efficient_bounded	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	4.0	7.0	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
care-home.0-0.efficient	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
care-home.1-160.efficient	mdp	prism	M	2obj	14.0	10.0	10.0	10.0	256	10.0	10.0	10.0	10.0	10.0	10.0	4.0	5.0	24.0	60.0	117.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
client-server.3.qual1	mdp	prism	M	3obj	4.0	4.0	4.0	512	512	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
client-server.4.qual1	mdp	prism	M	ge4obj	5.0	5.0	5.0	512	512	5.0	8.0	5.0	8.0	5.0	5.0	11.0	7.0	5.0	5.0	5.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
client-server.5.qual1	mdp	prism	M	ge4obj	7.0	7.0	7.0	512	512	7.0	12.0	7.0	7.0	8.0	7.0	7.0	7.0	7.0	7.0	7.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	7.0
client-server.3.qual2	mdp	prism	M	3obj	5.0	5.0	5.0	512	512	5.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0	5.0	4.0	5.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
client-server.4.qual2	mdp	prism	M	ge4obj	5.0	5.0	5.0	512	512	5.0	5.0	5.0	5.0	5.0	5.0	8.0	5.0	5.0	5.0	5.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
client-server.5.qual2	mdp	prism	M	ge4obj	6.0	6.0	6.0	512	512	6.0	7.0	6.0	6.0	6.0	6.0	7.0	6.0	6.0	6.0	6.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
client-server.3.quant	mdp	prism	M	3obj	7.0	7.0	7.0	512	512	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	8.0	7.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
client-server.4.quant	mdp	prism	M	ge4obj	11.0	14.0	14.0	512	512	14.0	14.0	10.0	14.0	14.0	14.0	6.0	8.0	14.0	12.0	14.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
client-server.5.quant	mdp	prism	M	ge4obj	11.0	12.0	12.0	512	512	12.0	12.0	12.0	12.0	11.0	12.0	7.0	7.0	14.0	14.0	14.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	7.0
client-server.3.pareto	mdp	prism	M	3obj	9.0	8.0	8.0	512	512	10.0	10.0	9.0	10.0	12.0	9.0	8.0	9.0	10.0	10.0	8.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	8.0
client-server.4.pareto	mdp	prism	M	ge4obj	40.0	256	256	512	512	256	256	256	256	256	256	16.0	26.0	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	16.0
client-server.5.pareto	mdp	prism	M	ge4obj	256	256	256	512	512	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
