benchmark	Type	Orig	Prop	Class	logs.Storm.topovi-abs-e3-g5	logs.Storm.topoii-abs-e3-g5	logs.Storm.ii-abs-e3-g5	logs.Storm.topopi-abs-e3-g5	logs.Storm.topopi-abs-einf	logs.Storm.topoii-abs-e3-g01	logs.Storm.topoii-abs-e3-g1	logs.Storm.topoii-abs-e3-g25	logs.Storm.topoii-abs-e3-g75	logs.Storm.topoii-abs-e3-g9	logs.Storm.topoii-abs-e3-g99	logs.Storm.topoii-abs-e1-g5	logs.Storm.topoii-abs-e2-g5	logs.Storm.topoii-abs-e4-g5	logs.Storm.topoii-abs-e5-g5	logs.Storm.topoii-abs-e6-g5	logs.mcsta.ii-rel-e3-g5	logs.mcsta.vi-abs-e3-g5	logs.mcsta.ii-abs-e3-g01	logs.mcsta.ii-abs-e3-g1	logs.mcsta.ii-abs-e3-g25	logs.mcsta.ii-abs-e3-g5	logs.mcsta.ii-abs-e3-g75	logs.mcsta.ii-abs-e3-g9	logs.mcsta.ii-abs-e3-g99	logs.mcsta.ii-abs-e1-g5	logs.mcsta.ii-abs-e2-g5	logs.mcsta.ii-abs-e4-g5	logs.mcsta.ii-abs-e5-g5	logs.mcsta.ii-abs-e6-g5	best
eajs.5-250-11.Multi	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	13.0	34.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
eajs.6-300-13.Multi	mdp	prism	M	2obj	2.0	2.0	2.0	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	13.0	33.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire.false-3-200.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.false-3-400.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.false-3-600.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.false-3-800.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.false-36-200.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.false-36-400.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.false-36-600.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.false-36-800.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.true-3-200.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.true-3-400.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.true-3-600.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.true-3-800.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.true-36-200.multi_pos	mdp	prism	M	2obj	21.0	2.0	2.0	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
firewire.true-36-400.multi_pos	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
firewire.true-36-600.multi_pos	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire.true-36-800.multi_pos	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire.false-3-200.multi_neg	mdp	prism	M	3obj	6.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.false-3-400.multi_neg	mdp	prism	M	3obj	7.0	7.0	6.0	7.0	256	7.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	6.0	7.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.false-3-600.multi_neg	mdp	prism	M	3obj	7.0	7.0	7.0	7.0	256	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.false-3-800.multi_neg	mdp	prism	M	3obj	6.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0	7.0	7.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.false-36-200.multi_neg	mdp	prism	M	3obj	23.0	23.0	23.0	22.0	256	22.0	22.0	22.0	23.0	24.0	24.0	11.0	17.0	25.0	25.0	25.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	11.0
firewire.false-36-400.multi_neg	mdp	prism	M	3obj	43.0	40.0	38.0	256	256	38.0	36.0	36.0	38.0	41.0	39.0	16.0	26.0	43.0	43.0	40.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	16.0
firewire.false-36-600.multi_neg	mdp	prism	M	3obj	35.0	34.0	32.0	256	256	33.0	33.0	33.0	37.0	40.0	37.0	11.0	24.0	44.0	44.0	45.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	11.0
firewire.false-36-800.multi_neg	mdp	prism	M	3obj	34.0	32.0	32.0	256	256	31.0	30.0	28.0	33.0	33.0	37.0	11.0	21.0	49.0	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	11.0
firewire.true-3-200.multi_neg	mdp	prism	M	3obj	6.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.true-3-400.multi_neg	mdp	prism	M	3obj	9.0	7.0	7.0	7.0	256	7.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	7.0	8.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.true-3-600.multi_neg	mdp	prism	M	3obj	6.0	7.0	7.0	7.0	256	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.true-3-800.multi_neg	mdp	prism	M	3obj	6.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0	7.0	7.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0
firewire.true-36-200.multi_neg	mdp	prism	M	3obj	23.0	22.0	256	256	256	22.0	22.0	22.0	22.0	22.0	22.0	11.0	16.0	26.0	25.0	25.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	11.0
firewire.true-36-400.multi_neg	mdp	prism	M	3obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire.true-36-600.multi_neg	mdp	prism	M	3obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire.true-36-800.multi_neg	mdp	prism	M	3obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire_abst.3.multi	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst.36.multi	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
human-uav.1-500-0.performant_safe_bounded	mdp	prism	M	2obj	14.0	14.0	14.0	14.0	256	14.0	14.0	14.0	14.0	14.0	14.0	5.0	7.0	19.0	28.0	33.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
human-uav.1-750-0.performant_safe_bounded	mdp	prism	M	2obj	14.0	14.0	13.0	12.0	256	12.0	13.0	14.0	14.0	14.0	14.0	5.0	7.0	30.0	64.0	96.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
human-uav.1-1000-0.performant_safe_bounded	mdp	prism	M	2obj	13.0	13.0	11.0	10.0	256	10.0	10.0	11.0	13.0	13.0	13.0	5.0	5.0	25.0	62.0	128	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
human-uav.1-1500-0.performant_safe_bounded	mdp	prism	M	2obj	13.0	13.0	13.0	256	256	13.0	13.0	13.0	14.0	15.0	17.0	5.0	7.0	32.0	83.0	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
human-uav.1-500-0.performant_safe	mdp	prism	M	2obj	14.0	14.0	14.0	14.0	256	14.0	14.0	14.0	14.0	14.0	14.0	5.0	7.0	19.0	26.0	33.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	5.0	7.0	19.0	27.0	33.0	5.0
human-uav.1-750-0.performant_safe	mdp	prism	M	2obj	14.0	12.0	12.0	12.0	256	12.0	12.0	12.0	12.0	12.0	12.0	4.0	7.0	26.0	62.0	92.0	8.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	4.0	6.0	27.0	58.0	89.0	4.0
human-uav.1-1000-0.performant_safe	mdp	prism	M	2obj	13.0	10.0	10.0	10.0	256	10.0	10.0	10.0	10.0	10.0	10.0	5.0	5.0	22.0	57.0	128	8.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	4.0	5.0	23.0	54.0	123.0	4.0
human-uav.1-1500-0.performant_safe	mdp	prism	M	2obj	14.0	13.0	13.0	13.0	256	13.0	13.0	13.0	13.0	13.0	13.0	5.0	7.0	28.0	72.0	128	9.0	12.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	4.0	7.0	29.0	71.0	128	4.0
mars-rover.1-10.lazy	mdp	prism	M	2obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mars-rover.2-10.lazy	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.1-20.lazy	mdp	prism	M	2obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mars-rover.2-20.lazy	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.1-30.lazy	mdp	prism	M	2obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mars-rover.2-30.lazy	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.1-100.lazy	mdp	prism	M	2obj	11.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mars-rover.2-100.lazy	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-500.lazy	mdp	prism	M	2obj	256	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mars-rover.2-500.lazy	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-1000.lazy	mdp	prism	M	2obj	256	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mars-rover.2-1000.lazy	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-10.bounded_tradeoff	mdp	prism	M	2obj	2.0	256	256	2.0	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-10.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.1-20.bounded_tradeoff	mdp	prism	M	2obj	2.0	256	256	2.0	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-20.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.1-30.bounded_tradeoff	mdp	prism	M	2obj	2.0	256	256	2.0	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-30.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.1-100.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-100.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-500.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-500.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-1000.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-1000.bounded_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-10.safe_collection_tradeoff	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-10.safe_collection_tradeoff	mdp	prism	M	2obj	7.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	4.0	4.0	8.0	11.0	16.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	4.0	5.0	9.0	12.0	17.0	4.0
mars-rover.1-20.safe_collection_tradeoff	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-20.safe_collection_tradeoff	mdp	prism	M	2obj	7.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	4.0	4.0	7.0	12.0	17.0	6.0	7.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0	5.0	9.0	12.0	20.0	4.0
mars-rover.1-30.safe_collection_tradeoff	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-30.safe_collection_tradeoff	mdp	prism	M	2obj	7.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	4.0	4.0	7.0	10.0	16.0	6.0	7.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0	5.0	8.0	12.0	17.0	4.0
mars-rover.1-100.safe_collection_tradeoff	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-100.safe_collection_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-500.safe_collection_tradeoff	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-500.safe_collection_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
mars-rover.1-1000.safe_collection_tradeoff	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
mars-rover.2-1000.safe_collection_tradeoff	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
network-virus.2.qual1	mdp	prism	M	2obj	3.0	3.0	3.0	512	512	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	3.0
network-virus.3.qual1	mdp	prism	M	2obj	2.0	2.0	2.0	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
network-virus.4.qual1	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
network-virus.2.qual2	mdp	prism	M	2obj	4.0	4.0	4.0	512	512	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
network-virus.3.qual2	mdp	prism	M	2obj	2.0	2.0	2.0	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
network-virus.4.qual2	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
network-virus.2.quant	mdp	prism	M	2obj	4.0	4.0	4.0	512	512	4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
network-virus.3.quant	mdp	prism	M	2obj	2.0	2.0	2.0	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
network-virus.4.quant	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
network-virus.2.pareto	mdp	prism	M	2obj	4.0	4.0	4.0	512	512	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
network-virus.3.pareto	mdp	prism	M	2obj	2.0	2.0	2.0	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
network-virus.4.pareto	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
random-grid.40-0.3-0.3.multi	mdp	prism	M	2obj	7.0	7.0	7.0	6.0	256	6.0	6.0	6.0	7.0	7.0	7.0	5.0	6.0	9.0	9.0	9.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
random-grid.80-0.3-0.3.multi	mdp	prism	M	2obj	512	7.0	7.0	256	256	6.0	6.0	7.0	7.0	7.0	7.0	5.0	6.0	9.0	9.0	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	5.0
random-grid.140-0.3-0.3.multi	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
random-grid.180-0.3-0.3.multi	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
random-grid.200-0.3-0.3.multi	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
sensor-network.1.pareto	mdp	prism	M	3obj	4.0	4.0	4.0	512	512	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
sensor-network.2.pareto	mdp	prism	M	3obj	6.0	6.0	6.0	512	512	6.0	6.0	6.0	6.0	6.0	6.0	4.0	6.0	6.0	6.0	6.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
sensor-network.3.pareto	mdp	prism	M	3obj	6.0	6.0	6.0	512	512	6.0	6.0	6.0	6.0	6.0	6.0	4.0	4.0	6.0	6.0	6.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
sensor-network.4.pareto	mdp	prism	M	3obj	6.0	6.0	6.0	512	512	5.0	5.0	6.0	6.0	6.0	6.0	4.0	4.0	6.0	6.0	6.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
sensor-network.5.pareto	mdp	prism	M	3obj	4.0	4.0	4.0	256	256	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0	6.0	6.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	4.0
team-formation.2.tradeoff_finish1_teamsize	mdp	prism	M	2obj	4.0	4.0	4.0	4.0	256	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0
team-formation.3.tradeoff_finish1_teamsize	mdp	prism	M	2obj	8.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	3.0	5.0	6.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	3.0
team-formation.4.tradeoff_finish1_teamsize	mdp	prism	M	2obj	6.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	3.0	5.0	6.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	3.0
team-formation.5.tradeoff_finish1_teamsize	mdp	prism	M	2obj	7.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	2.0	4.0	6.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	3.0	5.0	5.0	5.0	2.0
team-formation.2.tradeoff_finish1_finish_teamsize	mdp	prism	M	3obj	11.0	9.0	9.0	9.0	256	9.0	9.0	9.0	9.0	9.0	9.0	4.0	9.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	4.0	8.0	8.0	8.0	8.0	4.0
